id,lat,lon,name,address,capacity
333,-23.6170138247,-46.6813978503,333 -R. Flórida 53,333 -R. Flórida 53,15
334,-23.6129704331,-46.683206839,334 - R. Pe. Antônio,334 - R. Pe. Antônio,15
335,-23.610684626,-46.6859131865,335 - R. Ribeiro do Vale,335 - R. Ribeiro do Vale,11
336,-23.6110922048,-46.6889117358,336 - Flórida 1020,336 - Flórida 1020,11
337,-23.6132171735,-46.6914029151,337 - Castilho,337 - Castilho,19
338,-23.6146341562,-46.688371442,338 - RUA PITÚ,338 - RUA PITÚ,23
339,-23.6188143995,-46.6839186757,339 - R. Min. Luiz Gallotti,339 - R. Min. Luiz Gallotti,15
340,-23.6208075658,-46.6882010466,340 - R. Oscar Gomes Cardim II,340 - R. Oscar Gomes Cardim II,15
341,-23.6240902349,-46.6869891386,341 - R. Coronel Conrado Siqueira,341 - R. Coronel Conrado Siqueira,15
342,-23.6240430882,-46.6912757181,342 - R. Santo Arcádio,342 - R. Santo Arcádio,11
343,-23.6158624744,-46.6942850462,343 - Jurubatuba,343 - Jurubatuba,15
344,-23.6235674734,-46.7005347627,344 – ROCHAVERÁ,344 – ROCHAVERÁ,6
345,-23.6194058975,-46.6965638091,345 - R. Henrique FIsher,345 - R. Henrique FIsher,23
346,-23.6227705359,-46.6955795044,346 - R. Vieira da Silva,346 - R. Vieira da Silva,15
347,-23.6268943469,-46.6875731166,347 - Metrô Brooklin,347 - Metrô Brooklin,29
348,-23.6291995746,-46.6886410529,348 - R. João Pais,348 - R. João Pais,15
349,-23.6272952767,-46.6920652642,349 - Cacioneiro de Évora,349 - Cacioneiro de Évora,11
355,-23.5727122052,-46.6465303688,355 - R. Dr. Rafael de Barros,355 - R. Dr. Rafael de Barros,19
358,-23.5516652847,-46.7225625089,358 - SHOPPING VILLA LOBOS,358 - SHOPPING VILLA LOBOS,7
359,-23.6099798374,-46.6964118404,359 – CENU,359 – CENU,10
